,timestamp,btc_prices,btc_market_cap,btc_volumes,eth_prices,eth_market_cap,eth_volumes,sol_prices,sol_market_cap,sol_volumes,btc_open,btc_high,btc_low,btc_close,eth_open,eth_high,eth_low,eth_close,sol_open,sol_high,sol_low,sol_close
67,1773619200000,72681.913,1453818980888.097,29137209887.5333,2175.06,262512054941.10397,14747913813.60742,92.163,52658214640.90314,3123676485.3457417,70203.0,73839.0,69265.0,72682.0,2052.16,2200.03,2020.71,2175.06,86.57,92.91,84.89,92.16
68,1773964800000,69871.451,1397132369157.6367,46069506172.99344,2137.45,258058898457.4955,24108916783.710667,88.846,50782637128.16761,3564823814.746558,72799.0,75937.0,68934.0,69871.0,2177.72,2377.64,2104.6,2137.45,92.25,97.26,87.28,88.85
69,1774310400000,70892.828,1417921177640.1455,52502731112.03615,2151.498,259554597861.1581,28068766677.710217,91.377,52254718805.19267,5363123768.513683,69912.0,71646.0,67564.0,70893.0,2136.1,2186.9,2030.61,2151.5,88.9,91.96,85.32,91.38
70,1774656000000,66321.016,1326110397917.7085,48874426380.128494,1991.9,240350263112.52786,18794766454.176136,82.964,47482157575.11642,3496297086.4939494,70917.0,71922.0,65587.0,66321.0,2150.13,2196.43,1972.03,1991.9,91.45,93.24,82.14,82.96
71,1775001600000,68231.83,1364706648348.3545,56210727882.161446,2104.877,254040532514.3724,21496491501.1208,83.056,47556772134.1486,4343647275.125765,66328.0,68286.0,65112.0,68232.0,1990.82,2114.72,1947.32,2104.88,82.99,84.69,79.81,83.06
72,1775347200000,67304.25,1346790078680.91,21516550336.856274,2064.994,249240961118.02728,6614766426.338903,80.77,46263886927.84851,1691980981.3604684,68231.0,69136.0,65819.0,67304.0,2103.22,2161.5,2018.64,2064.99,83.09,86.05,76.95,80.77
73,1775692800000,71117.077,1423286125223.942,42583999503.6708,2190.479,264371759670.03903,21125273662.90435,82.598,47378147716.34937,3688303863.5176144,67306.0,72698.0,66634.0,71117.0,2065.52,2265.34,2024.21,2190.48,80.79,86.37,78.48,82.6
74,1776038400000,70756.751,1415861769817.8752,30101377740.873566,2192.161,264544626755.8191,14967971355.94253,81.535,46868765847.09739,2905031891.801938,71004.0,73721.0,70522.0,70757.0,2189.15,2322.45,2160.4,2192.16,82.48,86.17,81.41,81.53
75,1776384000000,75149.193,1503597305333.8933,44500754086.976234,2348.705,283412286692.5497,20472335141.626884,88.987,51190830617.59945,5451132606.154013,70651.0,75829.0,70627.0,75149.0,2189.6,2401.35,2178.19,2348.7,81.54,90.1,81.54,88.99
76,1776729600000,75874.546,1518784350281.418,48152404105.554855,2315.024,279392380110.18536,23156669964.6911,85.323,49102916734.76123,3570640461.2201595,75135.0,78240.0,73854.0,75875.0,2349.8,2462.81,2257.91,2315.02,89.05,90.46,83.17,85.32
