,date,btc_market_cap,eth_market_cap,sol_market_cap
417,2020-08-12,213661000000.0,43422196401.43864,105560074.30228285
418,2020-08-13,217326000000.0,47643532257.61292,105960201.2372635
419,2020-08-14,217355000000.0,49138658883.6942,99445983.62185425
420,2020-08-15,219075000000.0,48531291852.07669,95481724.97042874
421,2020-08-16,219691000000.0,48574110268.591194,100748668.38858736
422,2020-08-17,227385000000.0,48569085317.76444,93266048.06476349
423,2020-08-18,221430000000.0,47509323487.58529,102199602.3029266
424,2020-08-19,216716000000.0,45666945539.44811,90066072.7751182
425,2020-08-20,219139000000.0,46725405730.84063,101014230.9577666
426,2020-08-21,212819000000.0,43473343206.07392,92852936.8776949
427,2020-08-22,215741000000.0,44452200843.192696,95295269.69496097
428,2020-08-23,215443000000.0,44012367138.78997,103983281.81331556
429,2020-08-24,217408000000.0,45909467108.63924,104260812.96966302
430,2020-08-25,209792000000.0,43086001083.44212,102707625.154697
431,2020-08-26,211899000000.0,43398854775.01151,112646120.14584552
432,2020-08-27,209002000000.0,42955379762.60985,109318046.641112
433,2020-08-28,212950000000.0,44386475532.71301,128951872.22962828
434,2020-08-29,212276000000.0,44990635102.98346,129713757.75972612
435,2020-08-30,216133000000.0,48123612336.115005,143972133.95255136
436,2020-08-31,215761000000.0,49016753889.10611,155636948.37123725
437,2020-09-01,221167000000.0,54043001554.14368,142640639.59678173
438,2020-09-02,210908000000.0,49604706439.4126,135153105.5779564
439,2020-09-03,189613000000.0,43126064878.7356,117258130.80656461
440,2020-09-04,193511000000.0,43482808588.438774,118139183.92753436
441,2020-09-05,187175000000.0,37274408054.48287,86735270.57274534
442,2020-09-06,189488000000.0,39731784326.1546,103555762.86053263
443,2020-09-07,191615000000.0,39689378765.20791,97685400.74192256
444,2020-09-08,186834000000.0,37883840550.2409,84542482.32725206
445,2020-09-09,188960000000.0,39614236623.12765,120203538.8691846
446,2020-09-10,191031000000.0,41343847912.49755,118237811.85985725
447,2020-09-11,192010000000.0,42090063700.75738,119911240.14028049
448,2020-09-12,192942000000.0,43474037972.93866,117125372.8373966
449,2020-09-13,190838000000.0,41163062919.25454,112971783.13262507
450,2020-09-14,197138000000.0,42311901608.10819,115051965.96522968
451,2020-09-15,199306000000.0,40981011851.14145,106770575.86449692
452,2020-09-16,202810000000.0,41142006315.984886,93079396.58905408
453,2020-09-17,202229000000.0,43864015102.33902,106826909.0979833
454,2020-09-18,201942000000.0,43060084460.12367,114702550.42201002
455,2020-09-19,204795000000.0,43401541038.210365,112846734.8484447
456,2020-09-20,201984000000.0,41824882603.32649,106912427.9957194
457,2020-09-21,193378000000.0,38590167825.05769,104281863.21674412
458,2020-09-22,194579000000.0,38712898126.93146,110131001.49337976
459,2020-09-23,189288000000.0,36134668149.15297,107503326.61064708
460,2020-09-24,198652000000.0,39358014556.0892,119016591.69510458
461,2020-09-25,197636000000.0,39652509376.762024,121215629.63933226
462,2020-09-26,198728000000.0,39982772725.416565,120196233.23850982
463,2020-09-27,199048000000.0,40159044442.3825,122360444.38538608
464,2020-09-28,198477000000.0,40089110282.33383,115223612.02162527
465,2020-09-29,200591000000.0,40572242930.23919,116636091.24133956
466,2020-09-30,199327000000.0,40608069001.01995,115928307.55094124
467,2020-10-01,196271000000.0,39753638204.43729,115570032.47044958
468,2020-10-02,195603000000.0,39018189332.94325,106597777.02544507
469,2020-10-03,195346000000.0,39118896491.02566,104840718.51890457
470,2020-10-04,197390000000.0,39765280838.754944,103070250.57957044
471,2020-10-05,199381000000.0,39866190585.32463,109921542.04905204
472,2020-10-06,196128000000.0,38393439819.02707,89865250.80085382
473,2020-10-07,197448000000.0,38517272032.39445,95522903.39765328
474,2020-10-08,201814000000.0,39579494149.28636,99696691.39060512
475,2020-10-09,205001000000.0,41359367217.16903,107942249.0596692
476,2020-10-10,209246000000.0,41932940977.90237,102359265.43000774
477,2020-10-11,210652000000.0,42261276052.20113,102638376.05655289
478,2020-10-12,213812000000.0,43794329458.79846,109519245.88382564
479,2020-10-13,211723000000.0,43107369627.28657,102142198.4975272
480,2020-10-14,211404000000.0,42805800702.39239,100373205.99601965
481,2020-10-15,212997000000.0,42661073711.84296,98677228.39113288
482,2020-10-16,209978000000.0,41400056823.842995,93655058.76480232
483,2020-10-17,210430000000.0,41633142797.58399,95623625.58975853
484,2020-10-18,212790000000.0,42723797157.24873,96222988.17002407
485,2020-10-19,217544000000.0,42903166320.79833,89522183.21628672
486,2020-10-20,220954000000.0,41707584653.54216,82272912.35424095
487,2020-10-21,237988000000.0,44384831965.46309,82608280.44235682
488,2020-10-22,240759000000.0,46874253479.905846,85760909.67393106
489,2020-10-23,239953000000.0,46303400782.525,86775702.24482824
490,2020-10-24,242936000000.0,46640269106.96133,85285940.07306871
491,2020-10-25,241611000000.0,46020668226.0468,79837987.49242218
492,2020-10-26,242343000000.0,44585414597.01592,75546956.89565949
493,2020-10-27,253373000000.0,45726338651.34466,77431454.64891447
494,2020-10-28,246245000000.0,44018002202.64809,69617573.03467496
495,2020-10-29,249679000000.0,43783900656.96754,65615233.271892734
