asset,horizon,date,mult,prob,outcome
btc,7,2023-08-29,0.9,0.8903,1
btc,7,2023-08-29,0.95,0.762,0
btc,7,2023-08-29,1.0,0.4862,0
btc,7,2023-08-29,1.05,0.245,0
btc,7,2023-08-29,1.1,0.1289,0
btc,7,2023-09-05,0.9,0.8968,1
btc,7,2023-09-05,0.95,0.7681,1
btc,7,2023-09-05,1.0,0.4911,1
btc,7,2023-09-05,1.05,0.2404,0
btc,7,2023-09-05,1.1,0.1259,0
btc,7,2023-09-12,0.9,0.8973,1
btc,7,2023-09-12,0.95,0.7637,1
btc,7,2023-09-12,1.0,0.4788,1
btc,7,2023-09-12,1.05,0.242,1
btc,7,2023-09-12,1.1,0.1263,0
btc,7,2023-09-19,0.9,0.9014,1
btc,7,2023-09-19,0.95,0.7714,1
btc,7,2023-09-19,1.0,0.4936,0
btc,7,2023-09-19,1.05,0.2451,0
btc,7,2023-09-19,1.1,0.1294,0
btc,7,2023-09-26,0.9,0.893,1
btc,7,2023-09-26,0.95,0.7686,1
btc,7,2023-09-26,1.0,0.4855,1
btc,7,2023-09-26,1.05,0.245,0
btc,7,2023-09-26,1.1,0.1232,0
btc,7,2023-10-03,0.9,0.8972,1
btc,7,2023-10-03,0.95,0.7735,1
btc,7,2023-10-03,1.0,0.4975,0
btc,7,2023-10-03,1.05,0.235,0
btc,7,2023-10-03,1.1,0.1213,0
btc,7,2023-10-10,0.9,0.8966,1
btc,7,2023-10-10,0.95,0.7688,1
btc,7,2023-10-10,1.0,0.4881,1
btc,7,2023-10-10,1.05,0.2369,0
btc,7,2023-10-10,1.1,0.1192,0
btc,7,2023-10-17,0.9,0.8992,1
btc,7,2023-10-17,0.95,0.7731,1
btc,7,2023-10-17,1.0,0.4901,1
btc,7,2023-10-17,1.05,0.2338,1
btc,7,2023-10-17,1.1,0.122,1
btc,7,2023-10-24,0.9,0.9004,1
btc,7,2023-10-24,0.95,0.7771,1
btc,7,2023-10-24,1.0,0.5037,1
btc,7,2023-10-24,1.05,0.2501,0
btc,7,2023-10-24,1.1,0.1321,0
btc,7,2023-10-31,0.9,0.8962,1
btc,7,2023-10-31,0.95,0.7757,1
btc,7,2023-10-31,1.0,0.4957,1
btc,7,2023-10-31,1.05,0.2412,0
btc,7,2023-10-31,1.1,0.1312,0
btc,7,2023-11-07,0.9,0.8983,1
btc,7,2023-11-07,0.95,0.775,1
btc,7,2023-11-07,1.0,0.494,1
btc,7,2023-11-07,1.05,0.2431,0
btc,7,2023-11-07,1.1,0.131,0
btc,7,2023-11-14,0.9,0.9039,1
